day,price_close,price_high,price_low,price_open
2018-02-20,229.2,252.55,221.28,221.99
2018-02-19,221.96,226.51,213.01,214.22
2018-02-18,214.54,232.64,212.0,229.31
2018-02-17,229.29,233.53,223.0,228.21
2018-02-16,228.35,235.0,209.51,221.69
2018-02-15,221.31,237.18,207.0,212.04
2018-02-14,212.68,217.72,159.19,159.19
2018-02-13,159.19,162.47,151.31,161.59
2018-02-12,160.48,165.34,149.16,149.16
2018-02-11,149.02,156.0,140.99,154.62
2018-02-10,154.22,169.72,147.88,163.71
2018-02-09,163.7,164.68,141.41,149.53
2018-02-08,149.95,151.33,136.01,137.74
2018-02-07,137.66,160.03,131.2,142.01
2018-02-06,143.02,148.87,104.31,125.05
2018-02-05,124.97,154.0,116.0,148.38
2018-02-04,147.91,174.33,135.03,161.0
2018-02-03,160.52,166.19,119.19,131.08
2018-02-02,130.66,141.44,102.03,140.66
2018-02-01,140.99,165.0,127.17,163.27
2018-01-31,163.0,166.66,154.88,163.7
2018-01-30,163.31,181.16,157.65,180.0
2018-01-29,180.08,194.25,178.0,193.75
2018-01-28,193.76,195.0,180.26,181.96
2018-01-27,182.12,184.0,173.52,176.48
2018-01-26,175.92,182.52,165.05,179.0
2018-01-25,179.0,185.66,175.0,180.95
2018-01-24,180.9,185.92,172.22,178.09
2018-01-23,177.41,186.99,163.54,179.7
2018-01-22,179.03,195.55,163.48,191.02
2018-01-21,191.0,211.05,182.9,211.05
2018-01-20,211.07,216.29,193.07,193.07
2018-01-19,192.58,203.45,185.94,192.14
2018-01-18,192.81,208.8,176.13,188.4
2018-01-17,188.79,200.7,137.57,187.85
2018-01-16,188.94,232.45,149.23,231.68
2018-01-15,232.32,245.78,230.53,237.63
2018-01-14,236.79,270.0,232.0,258.0
2018-01-13,258.54,262.98,235.1,235.37
2018-01-12,235.37,241.99,219.11,225.54
2018-01-11,226.88,253.0,218.0,249.6
2018-01-10,249.57,250.0,230.47,245.69
2018-01-09,245.81,258.98,236.0,254.01
2018-01-08,254.23,273.57,230.0,271.12
2018-01-07,271.12,287.75,258.0,278.98
2018-01-06,278.98,306.8,241.72,243.52
2018-01-05,245.14,250.0,234.22,237.9
2018-01-04,237.9,245.0,225.0,244.03
2018-01-03,244.03,257.0,240.5,250.76
2018-01-02,250.79,260.0,223.57,223.61
2018-01-01,223.57,232.99,215.17,227.71
2017-12-31,227.16,235.0,208.19,211.17
2017-12-30,211.17,242.53,200.0,240.38
2017-12-29,240.0,258.8,236.43,249.31
2017-12-28,249.95,265.67,225.0,263.01
2017-12-27,264.49,284.84,251.1,279.0
2017-12-26,279.0,285.94,263.13,266.75
2017-12-25,268.59,284.5,262.18,273.33
2017-12-24,274.97,282.6,240.0,281.11
2017-12-23,281.47,309.8,252.48,264.09
2017-12-22,264.97,309.09,173.68,305.95
2017-12-21,306.0,327.0,284.99,303.4
2017-12-20,305.84,348.31,297.92,346.0
2017-12-19,346.0,375.0,321.0,355.82
2017-12-18,357.12,367.73,293.21,314.13
2017-12-17,313.12,329.84,294.79,296.0
2017-12-16,294.79,308.01,284.3,295.29
2017-12-15,295.34,317.9,245.0,274.97
2017-12-14,274.65,310.0,252.65,299.22
2017-12-13,300.84,343.03,278.88,306.39
2017-12-12,307.39,348.19,201.0,208.0
2017-12-11,208.03,223.0,140.8,142.87
2017-12-10,142.85,152.0,126.5,147.39
2017-12-09,148.49,158.5,116.44,120.46
2017-12-08,121.11,128.77,89.02,93.57
2017-12-07,93.79,97.75,87.97,96.61
2017-12-06,96.34,102.49,92.0,100.07
2017-12-05,100.02,104.0,99.0,103.5
2017-12-04,103.5,103.5,94.64,100.69
2017-12-03,100.82,106.81,94.23,98.8
2017-12-02,99.27,102.77,95.68,97.98
2017-12-01,97.44,99.7,80.85,85.65
2017-11-30,85.97,92.1,75.51,84.82
2017-11-29,84.39,103.65,78.19,93.95
2017-11-28,93.59,94.5,88.99,90.5
2017-11-27,90.5,91.99,85.0,85.45
2017-11-26,85.43,88.22,81.28,88.22
2017-11-25,88.25,89.01,77.0,77.28
2017-11-24,77.52,77.53,72.27,72.66
2017-11-23,72.71,76.64,69.82,72.01
2017-11-22,72.0,72.3,69.29,69.88
2017-11-21,69.62,72.77,67.61,72.08
2017-11-20,71.7,73.17,69.64,71.57
2017-11-19,71.56,73.18,68.4,69.25
2017-11-18,69.33,69.7,65.2,67.29
2017-11-17,67.22,71.3,64.51,70.48
2017-11-16,70.25,72.82,62.35,63.28
2017-11-15,63.36,65.39,62.2,62.37
2017-11-14,62.03,63.5,60.06,61.26
2017-11-13,61.03,62.27,58.0,58.7
2017-11-12,58.7,62.75,57.01,62.32
2017-11-11,62.47,64.0,58.51,59.11
2017-11-10,59.08,65.9,56.14,64.45
2017-11-09,64.48,67.12,61.2,62.39
2017-11-08,62.39,64.5,56.0,60.9
2017-11-07,60.9,63.84,53.68,54.52
2017-11-06,54.48,55.92,53.13,54.64
2017-11-05,54.44,55.5,54.3,54.83
2017-11-04,54.83,56.24,53.71,56.02
2017-11-03,56.01,56.45,53.7,54.24
2017-11-02,54.27,55.01,49.52,52.91
2017-11-01,52.84,55.58,52.5,55.46
2017-10-31,55.45,56.92,55.2,56.16
2017-10-30,56.29,58.42,55.7,56.58
2017-10-29,56.69,58.1,53.7,54.15
2017-10-28,54.16,55.98,53.52,55.06
2017-10-27,54.93,56.32,54.64,55.48
2017-10-26,55.47,57.0,54.66,56.29
2017-10-25,56.24,56.44,53.48,55.65
2017-10-24,55.5,59.52,52.03,54.4
2017-10-23,54.4,56.27,52.0,56.27
2017-10-22,56.49,58.4,55.75,58.2
2017-10-21,57.95,60.25,55.72,60.1
2017-10-20,60.01,62.25,58.22,59.82
2017-10-19,59.55,61.72,57.67,60.39
2017-10-18,60.39,62.0,53.0,59.15
2017-10-17,59.19,64.77,58.51,64.77
2017-10-16,64.63,66.32,62.1,65.67
2017-10-15,65.64,69.48,61.99,63.64
2017-10-14,63.63,66.59,58.03,59.09
2017-10-13,58.98,60.49,54.54,59.72
2017-10-12,59.67,59.67,48.97,50.75
2017-10-11,50.74,51.18,49.99,50.47
2017-10-10,50.46,51.76,49.52,49.91
2017-10-09,50.03,53.29,48.0,53.15
2017-10-08,53.03,54.67,52.1,52.7
2017-10-07,52.54,52.8,51.35,52.03
2017-10-06,52.0,52.8,51.28,51.56
2017-10-05,51.74,51.9,50.16,51.06
2017-10-04,51.21,52.92,50.41,52.14
2017-10-03,52.04,53.43,51.25,53.0
2017-10-02,53.23,54.71,52.82,54.51
2017-10-01,54.28,55.28,53.06,55.15
2017-09-30,55.15,55.65,52.63,52.84
2017-09-29,52.82,55.01,50.5,54.99
2017-09-28,54.94,57.3,53.99,56.89
2017-09-27,56.97,57.32,51.92,52.28
2017-09-26,52.09,54.28,51.24,52.11
2017-09-25,52.09,53.08,47.49,47.66
2017-09-24,47.68,49.37,46.95,49.23
2017-09-23,49.23,49.76,46.38,47.72
2017-09-22,47.72,49.08,44.69,46.68
2017-09-21,45.63,52.41,45.11,51.34
2017-09-20,51.42,54.5,50.25,52.47
2017-09-19,52.68,57.15,50.0,56.5
2017-09-18,56.23,57.5,50.31,50.44
2017-09-17,50.69,53.1,47.24,51.71
2017-09-16,51.82,56.82,49.74,51.85
2017-09-15,51.93,55.41,33.33,45.41
2017-09-14,45.41,62.47,45.2,61.73
2017-09-13,61.85,66.39,57.83,66.12
2017-09-12,65.8,72.07,64.6,68.07
2017-09-11,68.42,71.0,62.4,66.75
2017-09-10,66.66,71.08,62.57,70.82
2017-09-09,70.85,73.62,68.5,73.0
2017-09-08,73.34,82.17,67.69,80.01
2017-09-07,80.42,82.97,76.95,81.19
2017-09-06,81.4,82.32,73.32,73.4
2017-09-05,73.33,74.36,62.03,67.78
2017-09-04,67.82,78.74,61.0,78.49
2017-09-03,78.48,83.92,74.3,79.5
2017-09-02,79.34,93.62,72.62,87.55
2017-09-01,87.55,90.09,71.39,72.82
2017-08-31,73.06,74.78,64.96,65.83
2017-08-30,65.43,66.0,61.5,63.53
2017-08-29,63.53,63.95,60.6,62.21
2017-08-28,62.29,65.0,58.55,60.21
2017-08-27,60.21,64.89,51.32,51.34
2017-08-26,51.46,52.25,50.0,51.0
2017-08-25,50.95,52.21,49.26,49.75
2017-08-24,49.83,53.12,49.27,52.91
2017-08-23,52.89,55.69,45.73,46.32
2017-08-22,46.29,47.67,44.32,47.67
2017-08-21,47.66,48.73,45.02,45.9
2017-08-20,45.63,47.26,43.36,44.12
