day,price_close,price_high,price_low,price_open
2018-04-07,384.66,397.4,368.99,369.44
2018-04-06,370.08,385.62,360.0,381.04
2018-04-05,381.05,387.49,366.95,377.26
2018-04-04,378.99,417.5,370.49,415.34
2018-04-03,415.32,419.08,380.0,384.86
2018-04-02,384.47,395.0,375.02,378.06
2018-04-01,378.0,399.78,358.4,393.58
2018-03-31,393.79,419.7,387.85,393.85
2018-03-30,393.46,411.41,362.0,383.14
2018-03-29,383.07,448.5,378.86,446.6
2018-03-28,446.49,465.85,440.0,449.89
2018-03-27,449.41,492.09,445.08,485.4
2018-03-26,485.79,525.55,466.72,522.98
2018-03-25,521.99,535.68,512.59,519.99
2018-03-24,519.99,545.55,518.66,543.2
2018-03-23,543.03,543.2,506.0,538.56
2018-03-22,539.76,578.58,517.45,559.8
2018-03-21,560.52,590.69,545.0,557.49
2018-03-20,557.41,567.49,515.38,555.52
2018-03-19,555.68,559.0,515.47,538.0
2018-03-18,538.0,561.52,453.01,550.1
2018-03-17,550.1,610.0,542.75,598.56
2018-03-16,599.87,625.51,583.4,611.97
2018-03-15,611.02,620.0,571.56,612.0
2018-03-14,613.07,703.51,584.0,690.99
2018-03-13,690.01,715.0,680.0,696.16
2018-03-12,695.5,740.7,676.0,720.45
2018-03-11,720.38,737.14,662.48,681.07
2018-03-10,682.87,750.0,676.21,726.22
2018-03-09,726.13,732.31,640.55,698.06
2018-03-08,698.06,773.12,686.5,750.11
2018-03-07,750.42,825.61,723.13,813.08
2018-03-06,813.09,850.99,802.55,848.0
2018-03-05,848.0,869.21,848.0,864.06
2018-03-04,862.28,866.43,837.17,853.74
2018-03-03,853.76,868.7,849.0,856.33
2018-03-02,856.08,875.17,847.93,869.02
2018-03-01,869.01,881.47,845.81,851.92
2018-02-28,850.16,889.85,848.46,870.32
2018-02-27,870.32,896.0,861.0,868.46
2018-02-26,868.4,880.0,834.77,842.82
2018-02-25,842.65,851.38,818.38,835.74
2018-02-24,835.74,878.0,809.01,852.5
2018-02-23,851.98,883.44,787.0,805.08
2018-02-22,803.57,871.81,789.99,840.07
2018-02-21,837.98,906.09,816.0,884.25
2018-02-20,884.24,958.74,874.0,939.28
2018-02-19,938.05,955.58,906.0,913.42
2018-02-18,912.85,983.31,905.52,977.55
2018-02-17,977.74,980.0,935.25,940.87
2018-02-16,939.99,947.87,908.0,927.5
2018-02-15,927.91,951.25,905.0,922.98
2018-02-14,922.98,924.52,839.75,841.82
2018-02-13,841.82,869.14,819.31,866.86
2018-02-12,865.57,877.95,808.52,811.0
2018-02-11,809.69,855.19,775.99,851.84
